"date","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
2015-06-05 08:00:00,13.77,13.77,13.7321951219512,13.67,13.648125,13.6909756097561,13.72,13.6730769230769,13.5457142857143,12.6603448275862,12.4148148148148,11.9691780821918,11.1784146341463,10.2246987951807,8.87615384615385,7.42104166666667,7.11525423728814,6.62571428571429,6.34222222222222,6.05666666666667,5.84878787878788,5.67210526315789,5.55115942028985,5.50432432432432,5.459375,5.40545454545455,5.33333333333333,5.29616438356164,5.26962025316456,5.25088235294118,5.2240625,5.19292682926829,5.15375,5.12222222222222,5.09441176470588,5.07281690140845,5.05706666666667,5.03712328767123,5.02075,4.99675675675676,4.97076923076923,4.95181818181818,4.9280487804878,4.91433333333333,4.90545454545455,4.89456140350877,4.87934426229508,4.86258620689655,4.8471875,4.83052631578947,4.82467741935484
2015-06-10 13:00:00,16.34,16.34,15.4980769230769,14.8325641025641,14.4977272727273,14.062,13.6515789473684,13.235,12.9886274509804,12.3304,11.5172972972973,10.266,8.94333333333333,7.77,6.68357142857143,6.19627906976744,5.93285714285714,5.81363636363636,5.754,5.71461538461538,5.66725490196078,5.58,5.50584905660377,5.46782608695652,5.41607142857143,5.38166666666667,5.32833333333333,5.21583333333333,5.19,5.14666666666667,5.13181818181818,5.10377358490566,5.08,5.04977777777778,5.0202,5.0078947368421,4.98,4.97526315789474,4.96,4.95,4.94340909090909,4.94,4.93,4.93,4.91909090909091,4.90779661016949,4.88928571428571,4.88,4.8721875,4.86,4.85
2015-06-19 07:00:00,17.67,17.67,17.67,17.66,17.65,17.65,17.5448648648649,15.4817948717949,13.8743902439024,13.0182926829268,12.3748571428571,11.5915384615385,10.7,8.38631578947368,6.94481481481481,6.34459459459459,6.04090909090909,5.85435897435897,5.75272727272727,5.62636363636364,5.57410256410256,5.52785714285714,5.47285714285714,5.43125,5.40225,5.35591836734694,5.30627906976744,5.26529411764706,5.23181818181818,5.18181818181818,5.16086956521739,5.15081632653061,5.13038461538462,5.09,5.05322580645161,5.0448275862069,5.01935483870968,5,4.9845652173913,4.97071428571429,4.95833333333333,4.94,4.94409090909091,4.93,4.91981818181818,4.90914893617021,4.8965306122449,4.87759259259259,4.88,4.87020833333333,4.86
2015-06-24 09:00:00,16.17,16.1737037037037,16.18,16.18,16.18,16.1759090909091,16.16,16.14,16.1113793103448,13.905,12.4404651162791,11.4042105263158,10.5455555555556,9.41,8.391,7.224,6.48583333333333,6.12333333333333,5.90125,5.75259259259259,5.63619047619048,5.56885714285714,5.52809523809524,5.47878787878788,5.42741935483871,5.36785714285714,5.32357142857143,5.28810344827586,5.25352941176471,5.21827586206896,5.17652173913043,5.15631578947368,5.13225,5.11658536585366,5.1,5.07795454545455,5.05195652173913,5.0309375,5.02,5.00285714285714,4.98,4.96342857142857,4.95,4.94,4.94,4.93,4.91,4.90577777777778,4.9,4.89,4.88
2015-07-02 13:00:00,20.96,20.75625,19.6596,18.9558974358974,17.7837837837838,16.5614814814815,16.1525,15.550243902439,14.3054545454545,12.999,12.3118181818182,11.3816279069767,10.259375,8.04425531914894,6.92387755102041,6.285,5.98963636363636,5.83941176470588,5.77029850746269,5.66111111111111,5.58,5.54951612903226,5.50555555555556,5.47,5.44959183673469,5.38851063829787,5.34551020408163,5.312,5.2808,5.24019607843137,5.20421052631579,5.17785714285714,5.14461538461538,5.12622222222222,5.11,5.09678571428571,5.06944444444444,5.05169491525424,5.03471698113208,5.01,5,4.99711111111111,4.98219512195122,4.98,4.97,4.96,4.95454545454546,NA,NA,NA,NA
2015-07-02 14:00:00,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.9487037037037,4.94,4.93075,4.92
2015-07-08 11:00:00,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.2928947368421,16.568125,14.9715384615385,12.9711111111111,12.1013513513514,11.497027027027,10.9270454545455,9.88694444444445,8.54692307692308,6.9627027027027,6.19333333333333,5.95714285714286,5.857,5.78,5.71227272727273,5.64974358974359,5.61024390243902,5.5702380952381,5.53529411764706,5.48787878787879,5.45139534883721,5.41545454545455,5.38391304347826,5.3674358974359,5.33755555555556,5.31042553191489,5.27484848484848,5.25,5.22314285714286,5.19738095238095,5.16891891891892,5.12857142857143,5.09840909090909,5.075,5.06966666666667,5.05,5.04,5.03,5.02,4.9972972972973,4.99,4.97222222222222,4.96545454545454,4.95125
2015-07-15 09:00:00,17.57,19.755,19.8235897435897,19.72,19.71,19.6791666666667,19.322,17.5707142857143,15.8990476190476,14.1565,13.59,12.6113043478261,11.59,10.7666666666667,9.2375,7.93906976744186,6.97464285714286,6.45333333333333,6.1635,6.04782608695652,5.88761904761905,5.8004,5.71,5.66263157894737,5.61,5.57689655172414,5.54,5.505,5.48,5.44190476190476,5.41269230769231,5.37173913043478,5.32740740740741,5.29,5.27,5.24,5.21931034482759,5.18181818181818,5.13571428571429,5.13,5.10733333333333,5.09,5.07266666666667,5.06296296296296,5.06,5.04962962962963,5.03666666666667,5.02,5.01,5,4.9890625
2015-07-22 09:00:00,21.42,21.43,21.41,21.41,21.41,21.3971428571429,20.212,17.98375,15.4076923076923,14.2094117647059,13.4842105263158,12.7541176470588,11.6642105263158,10.8907407407407,9.83310344827586,8.69,7.38666666666667,6.84217391304348,6.27454545454545,6.09357142857143,6.02,5.89461538461538,5.80214285714286,5.732,5.64,5.61,5.56642857142857,5.54157894736842,5.49352941176471,5.46,5.43,5.38642857142857,5.35,5.3174358974359,5.28451612903226,5.24078947368421,5.20702702702703,5.18964285714286,5.17,5.14,5.12,5.10944444444444,5.1,5.07285714285714,5.06,5.05,5.04,5.03,5.01948717948718,5,4.9862962962963
2015-07-31 08:00:00,18.03,18.03,18.0425806451613,18.05,18.05,18.0533333333333,18.05,18.05,18.05,18.05,17.4290909090909,13.1535714285714,11.9241666666667,11.0818918918919,10.0255263157895,9.1869387755102,7.96,7.315,6.86909090909091,6.655,6.41333333333333,6.13532258064516,6.05515151515151,5.923,5.82969696969697,5.76076923076923,5.6988,5.63349206349206,5.5625,5.519,5.48,5.432,5.39409836065574,5.3552,5.32681818181818,5.28674418604651,5.26,5.24422222222222,5.24,5.22,5.21,5.2,5.17720930232558,5.16522727272727,5.14225,5.13704545454545,5.12390243902439,5.08238095238095,5.04,5.02244444444444,4.99
