0	-8.815	2.836	1.959	253.094
0	-7.643	2.868	1.959	253.576
99.709	-6.47	2.9	2.222	254.057
142.099	-5.298	2.931	2.959	254.539
0	-6.293	2.963	2.204	255.02
0	-7.289	2.995	1.959	255.502
0	-8.284	3.027	1.959	255.984
0	-9.28	3.046	3.962	256.465
0	-8.003	3.072	3.962	257.748
0	-6.726	3.085	3.962	259.031
71.594	-5.449	3.099	4.234	260.314
101.415	-4.172	3.112	4.962	261.596
0	-4.617	3.126	4.219	262.879
0	-5.061	3.139	3.962	264.162
0	-5.506	3.152	3.962	265.445
0	-5.95	3.166	5.155	266.728
0	-5.736	3.168	5.155	265.761
0	-5.521	3.17	5.155	264.795
38.204	-5.307	3.172	5.437	263.828
53.787	-5.093	3.174	6.155	262.862
0	-5.812	3.176	5.423	261.895
0	-6.532	3.178	5.155	260.929
0	-7.251	3.18	5.155	259.962
0	-7.971	3.182	2.427	258.996
0	-7.254	3.216	2.427	259.395
0	-6.536	3.25	2.427	259.795
73.12	-5.819	3.284	2.719	260.194
102.313	-5.102	3.319	3.427	260.594
0	-5.639	3.353	2.707	260.993
0	-6.176	3.387	2.427	261.393
0	-6.713	3.421	2.427	261.792
0	-7.25	3.456	1.721	262.192
0	-6.399	3.471	1.721	262.12
0	-5.549	3.486	1.721	262.048
62.567	-4.699	3.501	2.024	261.976
87.007	-3.849	3.516	2.721	261.904
0.23	-5.359	3.531	2.014	261.832
0	-6.87	3.547	1.721	261.76
0	-8.381	3.267	1.721	261.688
0	-9.892	2.902	2.9	261.616
0	-7.864	3.401	2.9	258.823
0	-5.835	3.298	2.9	256.03
74.218	-3.806	3.158	3.213	253.236
102.572	-1.777	3.019	3.9	250.443
0.996	-4.576	2.879	3.204	247.65
0	-7.376	2.739	2.9	244.857
0	-10.175	2.6	2.9	242.064
0	-12.974	2.269	3.77	239.27
0	-10.858	2.312	3.77	237.977
0	-8.742	2.164	3.77	236.684
101.352	-6.626	2.016	4.092	235.39
139.207	-4.51	1.868	4.77	234.097
2.527	-7.778	1.72	4.085	232.804
0	-11.045	1.572	3.77	231.511
0	-14.313	1.424	3.77	230.217
0	-17.581	1.276	1.473	228.924
0	-15.842	1.285	1.473	227.458
0	-14.103	1.295	1.473	225.993
112.936	-12.365	1.304	1.805	224.527
154.16	-10.626	1.313	2.473	223.061
4.227	-12.329	1.323	1.799	221.595
0	-14.032	1.332	1.473	220.13
0	-15.735	1.341	1.473	218.664
0	-17.438	1.351	2.303	217.198
0	-16.063	1.497	2.303	220.921
0	-14.688	1.644	2.303	224.644
136.167	-13.313	1.79	2.644	228.367
