Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       86   86.0000       5.26125       5.21268       4.79701       0.00000      0.687768E-04   0.00000      -27.5106      0.149437E-01 -0.415381E-01   97.0290       0.00000      -337.260       12.6922      0.500000       5.00000       4.00000      0.174067       0.00000       0.00000       0.00000       0.00000    
       87   87.0000       5.36624       5.30156       4.79701      0.222873      0.786897E-02  0.291432E-02  -50.5685      -10.0748      -21.5273       15.8400       0.00000      -337.769       12.4030      0.500000       5.00000       4.00000      0.174067       0.00000       0.00000       0.00000       0.00000    
       88   88.0000       5.29748       5.25683       4.77231      0.406072      0.143391E-01  0.279597E-02  -91.1734      -25.9078      -41.6985       70.3925       0.00000      -337.436       13.7909      0.549915       5.00000       4.00000      0.168672       0.00000       0.00000       0.00000       0.00000    
       89   89.0000       5.25386       5.22998       4.78938      0.360266      0.127227E-01  0.264299E-02  -130.650      -21.5988      -62.3682       122.157       0.00000      -337.225       14.9009      0.718282       5.00000       4.00000      0.172401       0.00000       0.00000       0.00000       0.00000    
       90   90.0000       5.23648       5.21887       4.78974      0.134281      0.474224E-02   0.00000      -75.5380      -6.73948      -29.3980       117.553       0.00000      -337.140       15.1691      0.718282       5.00000       4.00000      0.172478       0.00000       0.00000       0.00000       0.00000    
       91   91.0000       5.36337       5.27250       4.78974      0.142174      0.501975E-02   0.00000      -30.9036      -1.22154      -15.1844       55.7698       0.00000      -337.755       11.3443      0.540281       5.00000       4.00000      0.172478       0.00000       0.00000       0.00000       0.00000    
       92   92.0000       5.40358       5.30415       4.78974      0.199600      0.704677E-02   0.00000      -69.4591      -8.17432      -29.0263       107.281       0.00000      -337.951       11.1116      0.526443       5.00000       4.00000      0.172478       0.00000       0.00000       0.00000       0.00000    
       93   93.0000       5.43257       5.35240       4.79810      0.222506      0.785503E-02   0.00000      -64.1583      -5.14663      -39.6226       98.3871       0.00000      -338.091       12.3678      0.550742       5.00000       4.00000      0.174306       0.00000       0.00000       0.00000       0.00000    
       94   94.0000       5.46091       5.39605       4.80956      0.459482      0.162200E-01   0.00000       96.9039       44.8526       26.0159       64.5836       0.00000      -338.229       13.3707      0.596485       5.00000       4.00000      0.176808       0.00000       0.00000       0.00000       0.00000    
       95   95.0000       5.60281       5.60281       5.60281      0.176832      0.624058E-02   0.00000       2.49629       18.6367       4.37451       114.318       0.00000      -338.918       16.0500      0.500000       5.00000       4.00000      0.350053       0.00000       0.00000       0.00000       0.00000    
       96   96.0000       5.75208       5.75208       5.75208      0.144797      0.510856E-02   0.00000      -55.8761       7.91064      -20.7356       147.703       0.00000      -339.645       16.0500      0.500000       5.00000       4.00000      0.382654       0.00000       0.00000       0.00000       0.00000    
       97   97.0000       5.86928       5.86928       5.86928       0.00000      0.815339E-04   0.00000      -31.9194      0.338582E-01 -0.226743E-01   131.428       0.00000      -340.216       16.0500      0.500000       5.00000       4.00000      0.408252       0.00000       0.00000       0.00000       0.00000    
       98   98.0000       5.99839       5.99630       5.86928       0.00000      0.905764E-04   0.00000      -50.1686      0.375177E-01 -0.305450E-01   173.351       0.00000      -340.846       15.5308      0.500000       5.00000       4.00000      0.408252       0.00000       0.00000       0.00000       0.00000    
       99   99.0000       6.16272       6.15366       5.86928       0.00000      0.862096E-04   0.00000      -53.7962      0.559548E-01 -0.376659E-01   192.566       0.00000      -341.650       15.0590      0.500000       5.00000       4.00000      0.408252       0.00000       0.00000       0.00000       0.00000    
      100   100.000       6.35268       6.33100       5.86928       0.00000      0.656323E-04   0.00000      -54.8270      0.573497E-01 -0.184098E-01   196.435       0.00000      -342.580       14.6104      0.500000       5.00000       4.00000      0.408252       0.00000       0.00000       0.00000       0.00000    
      101   101.000       6.54951       6.51198       5.86928       0.00000      0.729439E-04   0.00000      -58.1505      0.496510E-01 -0.300815E-01   202.580       0.00000      -343.546       14.2791      0.500000       5.00000       4.00000      0.408252       0.00000       0.00000       0.00000       0.00000    
      102   102.000       6.75505       6.69657       5.86928       0.00000      0.732890E-04   0.00000      -60.2347      0.450453E-01 -0.249167E-01   204.767       0.00000      -344.557       13.9307      0.500000       5.00000       4.00000      0.408252       0.00000       0.00000       0.00000       0.00000    
      103   103.000       6.96496       6.88130       5.86928       0.00000      0.785450E-04   0.00000      -52.6693      0.241293E-01 -0.602492E-01   177.295       0.00000      -345.592       13.5990      0.500000       5.00000       4.00000      0.408252       0.00000       0.00000       0.00000       0.00000    
